#        TCE       KIC           Source       KIC  Prat    Dist ΔRow ΔCol   Mag2   ΔMag     Drat      Mechanism Flag  Psig  Tsig
003836558-01 003836558          6364.01 003836439  1:1    126.6  -18  -26   7.57   7.04 5.9445E+02   Direct-PRF    0 0.154 0.159
003838486-01 003838486          3700.01 003838496  1:1     10.1    2    1  17.90  -2.06 7.2595E+02   Direct-PRF    0 0.180 0.196
003848665-01 003848665    003644542-sec 003644542  3:1    993.1 -250    2   8.35   6.61 6.5746E+01   Direct-PRF    0 0.572 0.130
003848665-02 003848665          3511.01 003644542  1:1    993.1 -250    2   8.35   6.61 1.6277E+02   Direct-PRF    0 0.367 0.389
003851134-01 003851134    003954798-pri 003954798  1:1    221.1   56   -1  13.61  -0.13 3.3850E+04  Col-Anomaly    0 1.649 0.285
003851194-01 003851194    003954798-pri 003954798  1:1    317.7   80    1  13.61   0.21 2.9788E+04  Col-Anomaly    0 1.137 0.392
003858804-01 003858804     003858884-01 003858884  1:1     65.2   11  -12   9.28   4.50 6.8013E+02   Direct-PRF    0 0.239 0.055
003858804-02 003858804     003858884-02 003858884  1:1     65.2   11  -12   9.28   4.50 7.0975E+02   Direct-PRF    0 0.365 0.259
003858824-01 003858824     003858884-01 003858884  1:1     61.1   14   -7   9.28   6.07 2.0544E+02   Direct-PRF    0 0.308 0.113
003858824-02 003858824     003858884-02 003858884  1:1     61.1   14   -7   9.28   6.07 2.1405E+02   Direct-PRF    0 0.030 0.072
003858851-01 003858851     003858884-01 003858884  1:1     54.6   14   -1   9.28   6.49 7.8704E+01   Direct-PRF    0 0.424 0.204
003858851-02 003858851     003858884-02 003858884  1:1     54.6   14   -1   9.28   6.49 8.8463E+01   Direct-PRF    0 0.508 0.259
003858879-01 003858879     003858884-01 003858884  1:1     46.4   11    6   9.28   5.84 1.4014E+02   Direct-PRF    0 0.393 0.188
003858879-02 003858879     003858884-02 003858884  1:1     46.4   11    6   9.28   5.84 1.4944E+02   Direct-PRF    0 0.341 0.151
003858917-01 003858917     003858884-01 003858884  1:1     33.0   -8    1   9.28   5.41 1.2026E+02   Direct-PRF    0 0.385 0.187
003858917-02 003858917     003858884-02 003858884  1:1     33.0   -8    1   9.28   5.41 1.2496E+02   Direct-PRF    0 0.335 0.166
003858919-01 003858919     003858884-02 003858884  1:1     97.7  -23   -7   9.28   6.72 6.9512E+02   Direct-PRF    0 1.008 0.354
003858919-02 003858919     003858884-01 003858884  1:1     97.7  -23   -7   9.28   6.72 7.8149E+02   Direct-PRF    0 0.834 0.503
003858943-01 003858943     003858884-01 003858884  1:1     96.4  -24   -3   9.28   4.54 3.1383E+03   Direct-PRF    0 1.435 0.439
003858949-01 003858949     003858884-01 003858884  1:1     43.0   -5   10   9.28   5.30 4.1560E+02   Direct-PRF    0 0.372 0.153
003858949-02 003858949     003858884-02 003858884  1:1     43.0   -5   10   9.28   5.30 4.2675E+02   Direct-PRF    0 0.034 0.099
003858988-01 003858988     003858884-01 003858884  1:1     90.4  -20   11   9.28   5.72 2.5241E+02   Direct-PRF    0 0.714 0.428
003858988-02 003858988     003858884-02 003858884  1:1     90.4  -20   11   9.28   5.72 2.4844E+02   Direct-PRF    0 0.305 0.343
003859042-01 003859042     003858884-02 003858884  1:1    191.4  -48    5   9.28   6.63 1.0875E+03   Direct-PRF    0 1.873 0.721
003859151-01 003859151     003858884-01 003858884  1:1    194.1  -11   48   9.28   5.60 2.6930E+03   Direct-PRF    0 2.369 1.728
003859151-02 003859151     003858884-02 003858884  1:1    194.1  -11   48   9.28   5.60 2.4430E+03   Direct-PRF    0 2.087 0.004
003861611-01 003861611    003861595-pri 003861595  1:1     11.7   -1    3  11.43   4.42 2.6071E+00   Direct-PRF    0 0.402 0.274
003954211-01 003954211          3766.01 003954227  1:1      8.6    1    2  15.98  -0.31 3.7287E+02   Direct-PRF    0 0.006 0.234
003955866-03 003955866     003955867-02 003955867 12:1     17.9    3    3  13.55   1.34 4.9364E+00   Direct-PRF    0 4.877 1.845
003962684-01 003962684     003858884-01 003858884  1:1    108.6   27    6   9.28   4.68 2.9743E+03   Direct-PRF    0 0.231 0.178
003962728-01 003962728     003858884-01 003858884  1:1    141.9   32   17   9.28   6.47 1.3154E+03   Direct-PRF    0 2.359 3.022
003962728-02 003962728     003858884-02 003858884  1:1    141.9   32   17   9.28   6.47 1.5394E+03   Direct-PRF    0 0.463 0.882
003962872-01 003962872     003858884-01 003858884  1:1    213.5   31   45   9.28   4.87 4.5811E+03   Direct-PRF    0 1.469 1.143
003962872-02 003962872     003858884-02 003858884  1:1    213.5   31   45   9.28   4.87 3.9662E+03   Direct-PRF    0 4.047 3.648
